pip_value estimasi: 9.0 (override dengan --pipval)

Backtest: USDJPY | step=4 | trail=OFF
CSV: ../data/USDJPY_GMT+0_NO-DST_M15.csv
  139,666 candle M15 | 2020-01-01 22:00:00 s/d 2025-08-11 23:45:00
Estimasi 34,854 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=9,025 bars | D1=1,750 bars
    0.8% | bar=1,334/139,666 | trades=10 | equity=$1,039.29 | ETA=16.5min
   11.6% | bar=16,374/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
   12.4% | bar=17,474/139,666 | trades=250 | equity=$1,551.57 | ETA=13.9min
   12.4% | bar=17,478/139,666 | trades=250 | equity=$1,551.57 | ETA=13.9min
   12.4% | bar=17,482/139,666 | trades=250 | equity=$1,551.57 | ETA=13.9min
   12.4% | bar=17,486/139,666 | trades=250 | equity=$1,551.57 | ETA=13.9min
   12.4% | bar=17,490/139,666 | trades=250 | equity=$1,551.57 | ETA=13.9min
   12.8% | bar=18,142/139,666 | trades=260 | equity=$1,507.85 | ETA=13.8min
   12.8% | bar=18,146/139,666 | trades=260 | equity=$1,507.85 | ETA=13.8min
   12.8% | bar=18,154/139,666 | trades=260 | equity=$1,507.85 | ETA=13.8min
   12.8% | bar=18,158/139,666 | trades=260 | equity=$1,507.85 | ETA=13.8min
   12.8% | bar=18,162/139,666 | trades=260 | equity=$1,507.85 | ETA=13.8min
   13.5% | bar=19,062/139,666 | trades=270 | equity=$1,464.52 | ETA=13.8min
   13.5% | bar=19,066/139,666 | trades=270 | equity=$1,464.52 | ETA=13.8min
   13.5% | bar=19,074/139,666 | trades=270 | equity=$1,464.52 | ETA=13.8min
   14.2% | bar=20,022/139,666 | trades=280 | equity=$1,424.16 | ETA=13.7min
   14.9% | bar=21,066/139,666 | trades=290 | equity=$1,440.01 | ETA=13.6min
   14.9% | bar=21,070/139,666 | trades=290 | equity=$1,440.01 | ETA=13.6min
   14.9% | bar=21,082/139,666 | trades=290 | equity=$1,440.01 | ETA=13.6min
   14.9% | bar=21,086/139,666 | trades=290 | equity=$1,440.01 | ETA=13.6min
   14.9% | bar=21,090/139,666 | trades=290 | equity=$1,440.01 | ETA=13.6min
   15.0% | bar=21,094/139,666 | trades=290 | equity=$1,440.01 | ETA=13.6min
   15.4% | bar=21,750/139,666 | trades=300 | equity=$1,371.45 | ETA=13.5min
   15.4% | bar=21,758/139,666 | trades=300 | equity=$1,371.45 | ETA=13.5min
   16.1% | bar=22,714/139,666 | trades=310 | equity=$1,301.55 | ETA=13.3min
   16.2% | bar=22,778/139,666 | trades=310 | equity=$1,301.55 | ETA=13.3min
   16.2% | bar=22,782/139,666 | trades=310 | equity=$1,301.55 | ETA=13.3min
   16.2% | bar=22,790/139,666 | trades=310 | equity=$1,301.55 | ETA=13.3min
   16.2% | bar=22,798/139,666 | trades=310 | equity=$1,301.55 | ETA=13.3min
   16.2% | bar=22,802/139,666 | trades=310 | equity=$1,301.55 | ETA=13.3min
   16.2% | bar=22,806/139,666 | trades=310 | equity=$1,301.55 | ETA=13.3min
   16.2% | bar=22,814/139,666 | trades=310 | equity=$1,301.55 | ETA=13.3min
   16.8% | bar=23,678/139,666 | trades=320 | equity=$1,343.43 | ETA=13.3min
   17.4% | bar=24,534/139,666 | trades=330 | equity=$1,302.33 | ETA=13.2min
   18.1% | bar=25,546/139,666 | trades=340 | equity=$1,343.49 | ETA=13.1min
   18.1% | bar=25,550/139,666 | trades=340 | equity=$1,343.49 | ETA=13.1min
   18.2% | bar=25,558/139,666 | trades=340 | equity=$1,343.49 | ETA=13.1min
   18.2% | bar=25,562/139,666 | trades=340 | equity=$1,343.49 | ETA=13.1min
   18.3% | bar=25,774/139,666 | trades=340 | equity=$1,343.49 | ETA=13.1min
   18.3% | bar=25,778/139,666 | trades=340 | equity=$1,343.49 | ETA=13.1min
   18.3% | bar=25,782/139,666 | trades=340 | equity=$1,343.49 | ETA=13.1min
   18.3% | bar=25,786/139,666 | trades=340 | equity=$1,343.49 | ETA=13.1min
   19.2% | bar=26,978/139,666 | trades=350 | equity=$1,379.48 | ETA=12.9min
   19.7% | bar=27,774/139,666 | trades=360 | equity=$1,417.30 | ETA=12.7min
   19.7% | bar=27,778/139,666 | trades=360 | equity=$1,417.30 | ETA=12.7min
   20.1% | bar=28,270/139,666 | trades=370 | equity=$1,376.96 | ETA=12.7min
   20.7% | bar=29,062/139,666 | trades=380 | equity=$1,471.22 | ETA=12.5min
   20.7% | bar=29,066/139,666 | trades=380 | equity=$1,471.22 | ETA=12.5min
   20.7% | bar=29,070/139,666 | trades=380 | equity=$1,471.22 | ETA=12.5min
   20.7% | bar=29,078/139,666 | trades=380 | equity=$1,471.22 | ETA=12.5min
   21.0% | bar=29,518/139,666 | trades=390 | equity=$1,573.47 | ETA=12.5min
   21.0% | bar=29,522/139,666 | trades=390 | equity=$1,573.47 | ETA=12.5min
   21.0% | bar=29,578/139,666 | trades=390 | equity=$1,573.47 | ETA=12.5min
   21.4% | bar=30,126/139,666 | trades=400 | equity=$1,562.08 | ETA=12.4min
   22.0% | bar=30,878/139,666 | trades=410 | equity=$1,545.75 | ETA=12.3min
   22.0% | bar=30,886/139,666 | trades=410 | equity=$1,545.75 | ETA=12.3min
   22.5% | bar=31,590/139,666 | trades=420 | equity=$1,531.51 | ETA=12.2min
   22.9% | bar=32,110/139,666 | trades=430 | equity=$1,572.24 | ETA=12.1min
   22.9% | bar=32,114/139,666 | trades=430 | equity=$1,572.24 | ETA=12.1min
   23.4% | bar=32,834/139,666 | trades=440 | equity=$1,553.93 | ETA=12.0min
   23.4% | bar=32,838/139,666 | trades=440 | equity=$1,553.93 | ETA=12.0min
   23.4% | bar=32,842/139,666 | trades=440 | equity=$1,553.93 | ETA=12.0min
   23.4% | bar=32,846/139,666 | trades=440 | equity=$1,553.93 | ETA=12.0min
   23.4% | bar=32,854/139,666 | trades=440 | equity=$1,553.93 | ETA=12.0min
   23.8% | bar=33,486/139,666 | trades=450 | equity=$1,600.90 | ETA=12.0min
   23.9% | bar=33,514/139,666 | trades=450 | equity=$1,600.90 | ETA=12.0min
   23.9% | bar=33,518/139,666 | trades=450 | equity=$1,600.90 | ETA=12.0min
   23.9% | bar=33,522/139,666 | trades=450 | equity=$1,600.90 | ETA=12.0min
   23.9% | bar=33,526/139,666 | trades=450 | equity=$1,600.90 | ETA=12.0min
   24.5% | bar=34,346/139,666 | trades=460 | equity=$1,586.20 | ETA=11.8min
   24.9% | bar=35,030/139,666 | trades=470 | equity=$1,573.53 | ETA=11.8min
   25.0% | bar=35,106/139,666 | trades=470 | equity=$1,573.53 | ETA=11.8min
   25.9% | bar=36,350/139,666 | trades=480 | equity=$1,589.97 | ETA=11.7min
   25.9% | bar=36,422/139,666 | trades=480 | equity=$1,589.97 | ETA=11.7min
   25.9% | bar=36,426/139,666 | trades=480 | equity=$1,589.97 | ETA=11.7min
   26.0% | bar=36,430/139,666 | trades=480 | equity=$1,589.97 | ETA=11.7min
   26.0% | bar=36,438/139,666 | trades=480 | equity=$1,589.97 | ETA=11.7min
   26.0% | bar=36,462/139,666 | trades=480 | equity=$1,589.97 | ETA=11.7min
   26.5% | bar=37,162/139,666 | trades=490 | equity=$1,606.01 | ETA=11.6min
   26.5% | bar=37,166/139,666 | trades=490 | equity=$1,606.01 | ETA=11.6min
   26.5% | bar=37,170/139,666 | trades=490 | equity=$1,606.01 | ETA=11.6min
   26.5% | bar=37,174/139,666 | trades=490 | equity=$1,606.01 | ETA=11.6min
   26.5% | bar=37,182/139,666 | trades=490 | equity=$1,606.01 | ETA=11.6min
   26.5% | bar=37,222/139,666 | trades=490 | equity=$1,606.01 | ETA=11.6min
   26.9% | bar=37,790/139,666 | trades=500 | equity=$1,616.58 | ETA=11.4min
   27.5% | bar=38,634/139,666 | trades=510 | equity=$1,572.33 | ETA=11.3min
   27.6% | bar=38,666/139,666 | trades=510 | equity=$1,572.33 | ETA=11.3min
   27.9% | bar=39,166/139,666 | trades=520 | equity=$1,645.67 | ETA=11.3min
   27.9% | bar=39,170/139,666 | trades=520 | equity=$1,645.67 | ETA=11.3min
   27.9% | bar=39,178/139,666 | trades=520 | equity=$1,645.67 | ETA=11.3min
   27.9% | bar=39,214/139,666 | trades=520 | equity=$1,645.67 | ETA=11.3min
   28.5% | bar=40,010/139,666 | trades=530 | equity=$1,662.27 | ETA=11.2min
   29.5% | bar=41,446/139,666 | trades=540 | equity=$1,766.01 | ETA=11.0min
   29.6% | bar=41,482/139,666 | trades=540 | equity=$1,766.01 | ETA=11.0min
   30.4% | bar=42,666/139,666 | trades=550 | equity=$1,772.83 | ETA=10.9min
   30.4% | bar=42,682/139,666 | trades=550 | equity=$1,772.83 | ETA=10.9min
   30.4% | bar=42,686/139,666 | trades=550 | equity=$1,772.83 | ETA=10.9min
   30.4% | bar=42,690/139,666 | trades=550 | equity=$1,772.83 | ETA=10.9min
   31.0% | bar=43,458/139,666 | trades=560 | equity=$1,757.82 | ETA=10.8min
   31.6% | bar=44,298/139,666 | trades=570 | equity=$1,774.03 | ETA=10.8min
   32.1% | bar=45,022/139,666 | trades=580 | equity=$1,877.34 | ETA=10.7min
   32.1% | bar=45,026/139,666 | trades=580 | equity=$1,877.34 | ETA=10.7min
   32.1% | bar=45,030/139,666 | trades=580 | equity=$1,877.34 | ETA=10.7min
   32.6% | bar=45,674/139,666 | trades=590 | equity=$1,838.12 | ETA=10.6min
   32.6% | bar=45,686/139,666 | trades=590 | equity=$1,838.12 | ETA=10.6min
   32.6% | bar=45,698/139,666 | trades=590 | equity=$1,838.12 | ETA=10.6min
   33.1% | bar=46,342/139,666 | trades=600 | equity=$1,850.68 | ETA=10.5min
   33.5% | bar=46,890/139,666 | trades=610 | equity=$1,892.16 | ETA=10.4min
   33.5% | bar=46,894/139,666 | trades=610 | equity=$1,892.16 | ETA=10.4min
   33.5% | bar=46,902/139,666 | trades=610 | equity=$1,892.16 | ETA=10.4min
   33.7% | bar=47,290/139,666 | trades=620 | equity=$1,906.15 | ETA=10.3min
   34.1% | bar=47,786/139,666 | trades=630 | equity=$1,806.34 | ETA=10.3min
   34.4% | bar=48,266/139,666 | trades=640 | equity=$1,883.17 | ETA=10.2min
   34.9% | bar=48,902/139,666 | trades=650 | equity=$1,813.61 | ETA=10.1min
   35.7% | bar=49,966/139,666 | trades=660 | equity=$1,858.01 | ETA=10.0min
   36.1% | bar=50,598/139,666 | trades=670 | equity=$1,844.89 | ETA=10.0min
   36.1% | bar=50,602/139,666 | trades=670 | equity=$1,844.89 | ETA=10.0min
   36.1% | bar=50,614/139,666 | trades=670 | equity=$1,844.89 | ETA=10.0min
   36.1% | bar=50,626/139,666 | trades=670 | equity=$1,844.89 | ETA=10.0min
   36.6% | bar=51,330/139,666 | trades=680 | equity=$1,894.32 | ETA=9.9min
   36.6% | bar=51,334/139,666 | trades=680 | equity=$1,894.32 | ETA=9.9min
   36.7% | bar=51,350/139,666 | trades=680 | equity=$1,894.32 | ETA=9.9min
   36.7% | bar=51,354/139,666 | trades=680 | equity=$1,894.32 | ETA=9.9min
   37.2% | bar=52,118/139,666 | trades=690 | equity=$1,927.94 | ETA=9.8min
   37.2% | bar=52,122/139,666 | trades=690 | equity=$1,927.94 | ETA=9.8min
   37.6% | bar=52,674/139,666 | trades=700 | equity=$2,008.99 | ETA=9.8min
   37.6% | bar=52,678/139,666 | trades=700 | equity=$2,008.99 | ETA=9.8min
   37.6% | bar=52,702/139,666 | trades=700 | equity=$2,008.99 | ETA=9.8min
   38.2% | bar=53,566/139,666 | trades=710 | equity=$2,025.11 | ETA=9.7min
   38.2% | bar=53,574/139,666 | trades=710 | equity=$2,025.11 | ETA=9.7min
   38.3% | bar=53,578/139,666 | trades=710 | equity=$2,025.11 | ETA=9.7min
   38.8% | bar=54,286/139,666 | trades=720 | equity=$2,044.76 | ETA=9.6min
   39.0% | bar=54,626/139,666 | trades=730 | equity=$2,117.79 | ETA=9.5min
   39.0% | bar=54,690/139,666 | trades=730 | equity=$2,117.79 | ETA=9.5min
   39.3% | bar=55,090/139,666 | trades=740 | equity=$2,157.26 | ETA=9.5min
   39.8% | bar=55,758/139,666 | trades=750 | equity=$2,146.70 | ETA=9.4min
   39.8% | bar=55,762/139,666 | trades=750 | equity=$2,146.70 | ETA=9.4min
   40.1% | bar=56,114/139,666 | trades=760 | equity=$2,282.52 | ETA=9.4min
   40.5% | bar=56,682/139,666 | trades=770 | equity=$2,332.58 | ETA=9.3min
   40.8% | bar=57,178/139,666 | trades=780 | equity=$2,427.17 | ETA=9.2min
   40.8% | bar=57,190/139,666 | trades=780 | equity=$2,427.17 | ETA=9.2min
   40.9% | bar=57,274/139,666 | trades=780 | equity=$2,427.17 | ETA=9.2min
   40.9% | bar=57,282/139,666 | trades=780 | equity=$2,427.17 | ETA=9.2min
   41.1% | bar=57,602/139,666 | trades=790 | equity=$2,417.90 | ETA=9.2min
   41.1% | bar=57,606/139,666 | trades=790 | equity=$2,417.90 | ETA=9.2min
   41.6% | bar=58,226/139,666 | trades=800 | equity=$2,500.81 | ETA=9.1min
   41.9% | bar=58,662/139,666 | trades=810 | equity=$2,491.08 | ETA=9.1min
   41.9% | bar=58,666/139,666 | trades=810 | equity=$2,491.08 | ETA=9.1min
   41.9% | bar=58,678/139,666 | trades=810 | equity=$2,491.08 | ETA=9.1min
   41.9% | bar=58,682/139,666 | trades=810 | equity=$2,491.08 | ETA=9.1min
   41.9% | bar=58,702/139,666 | trades=810 | equity=$2,491.08 | ETA=9.1min
   41.9% | bar=58,710/139,666 | trades=810 | equity=$2,491.08 | ETA=9.1min
   41.9% | bar=58,714/139,666 | trades=810 | equity=$2,491.08 | ETA=9.1min
   42.3% | bar=59,182/139,666 | trades=820 | equity=$2,478.64 | ETA=9.1min
   42.5% | bar=59,514/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.5% | bar=59,518/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.5% | bar=59,522/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.5% | bar=59,526/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.5% | bar=59,530/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.5% | bar=59,558/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.5% | bar=59,562/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.5% | bar=59,566/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.5% | bar=59,570/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.6% | bar=59,578/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.6% | bar=59,586/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.6% | bar=59,590/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.6% | bar=59,594/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   42.6% | bar=59,598/139,666 | trades=830 | equity=$2,497.97 | ETA=9.0min
   43.0% | bar=60,138/139,666 | trades=840 | equity=$2,536.00 | ETA=9.0min
   43.2% | bar=60,534/139,666 | trades=850 | equity=$2,660.45 | ETA=8.9min
   43.8% | bar=61,278/139,666 | trades=860 | equity=$2,646.59 | ETA=8.8min
   44.5% | bar=62,234/139,666 | trades=870 | equity=$2,604.65 | ETA=8.7min
   44.8% | bar=62,730/139,666 | trades=880 | equity=$2,592.25 | ETA=8.6min
   45.3% | bar=63,426/139,666 | trades=890 | equity=$2,613.42 | ETA=8.6min
   45.3% | bar=63,430/139,666 | trades=890 | equity=$2,613.42 | ETA=8.6min
   45.3% | bar=63,434/139,666 | trades=890 | equity=$2,613.42 | ETA=8.6min
   45.7% | bar=63,926/139,666 | trades=900 | equity=$2,606.98 | ETA=8.5min
   45.7% | bar=63,930/139,666 | trades=900 | equity=$2,606.98 | ETA=8.5min
   45.7% | bar=63,934/139,666 | trades=900 | equity=$2,606.98 | ETA=8.5min
   45.7% | bar=63,938/139,666 | trades=900 | equity=$2,606.98 | ETA=8.5min
   45.7% | bar=63,942/139,666 | trades=900 | equity=$2,606.98 | ETA=8.5min
   46.0% | bar=64,378/139,666 | trades=910 | equity=$2,595.52 | ETA=8.5min
   46.0% | bar=64,382/139,666 | trades=910 | equity=$2,595.52 | ETA=8.5min
   46.0% | bar=64,386/139,666 | trades=910 | equity=$2,595.52 | ETA=8.5min
   46.0% | bar=64,390/139,666 | trades=910 | equity=$2,595.52 | ETA=8.5min
   46.4% | bar=64,914/139,666 | trades=920 | equity=$2,611.81 | ETA=8.4min
   46.4% | bar=64,918/139,666 | trades=920 | equity=$2,611.81 | ETA=8.4min
   47.1% | bar=65,866/139,666 | trades=930 | equity=$2,657.33 | ETA=8.3min
   47.1% | bar=65,870/139,666 | trades=930 | equity=$2,657.33 | ETA=8.3min
   47.1% | bar=65,874/139,666 | trades=930 | equity=$2,657.33 | ETA=8.3min
   47.1% | bar=65,898/139,666 | trades=930 | equity=$2,657.33 | ETA=8.3min
   47.6% | bar=66,578/139,666 | trades=940 | equity=$2,641.18 | ETA=8.2min
   47.6% | bar=66,594/139,666 | trades=940 | equity=$2,641.18 | ETA=8.2min
   47.6% | bar=66,602/139,666 | trades=940 | equity=$2,641.18 | ETA=8.2min
   47.6% | bar=66,614/139,666 | trades=940 | equity=$2,641.18 | ETA=8.2min
   47.6% | bar=66,646/139,666 | trades=940 | equity=$2,641.18 | ETA=8.2min
   48.0% | bar=67,202/139,666 | trades=950 | equity=$2,679.79 | ETA=8.2min
   48.3% | bar=67,554/139,666 | trades=960 | equity=$2,697.22 | ETA=8.1min
   48.8% | bar=68,218/139,666 | trades=970 | equity=$2,768.21 | ETA=8.0min
   48.8% | bar=68,222/139,666 | trades=970 | equity=$2,768.21 | ETA=8.0min
   49.2% | bar=68,802/139,666 | trades=980 | equity=$2,878.12 | ETA=8.0min
   49.2% | bar=68,806/139,666 | trades=980 | equity=$2,878.12 | ETA=8.0min
   49.2% | bar=68,810/139,666 | trades=980 | equity=$2,878.12 | ETA=8.0min
   49.9% | bar=69,802/139,666 | trades=990 | equity=$2,924.20 | ETA=7.9min
   49.9% | bar=69,806/139,666 | trades=990 | equity=$2,924.20 | ETA=7.9min
   49.9% | bar=69,810/139,666 | trades=990 | equity=$2,924.20 | ETA=7.9min
   50.3% | bar=70,342/139,666 | trades=1000 | equity=$2,900.48 | ETA=7.8min
   50.3% | bar=70,350/139,666 | trades=1000 | equity=$2,900.48 | ETA=7.8min
   50.3% | bar=70,374/139,666 | trades=1000 | equity=$2,900.48 | ETA=7.8min
   50.3% | bar=70,378/139,666 | trades=1000 | equity=$2,900.48 | ETA=7.8min
   50.3% | bar=70,382/139,666 | trades=1000 | equity=$2,900.48 | ETA=7.8min
   50.9% | bar=71,166/139,666 | trades=1010 | equity=$2,884.15 | ETA=7.7min
   51.4% | bar=71,938/139,666 | trades=1020 | equity=$2,840.39 | ETA=7.6min
   51.4% | bar=71,942/139,666 | trades=1020 | equity=$2,840.39 | ETA=7.6min
   51.4% | bar=71,954/139,666 | trades=1020 | equity=$2,840.39 | ETA=7.6min
   51.4% | bar=71,970/139,666 | trades=1020 | equity=$2,840.39 | ETA=7.6min
   51.4% | bar=71,978/139,666 | trades=1020 | equity=$2,840.39 | ETA=7.6min
   51.5% | bar=71,982/139,666 | trades=1020 | equity=$2,840.39 | ETA=7.6min
   51.8% | bar=72,470/139,666 | trades=1030 | equity=$2,917.34 | ETA=7.6min
   52.2% | bar=72,986/139,666 | trades=1040 | equity=$2,925.43 | ETA=7.5min
   52.6% | bar=73,518/139,666 | trades=1050 | equity=$2,847.78 | ETA=7.4min
   53.1% | bar=74,298/139,666 | trades=1060 | equity=$2,899.09 | ETA=7.3min
   53.5% | bar=74,850/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.5% | bar=74,862/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
   53.5% | bar=74,866/139,666 | trades=1070 | equity=$2,950.43 | ETA=7.3min
